股票代码,股票名称,分类标签
SH601952,苏垦农发,自选股
SH601985,中国核电,自选股
SH601989,中国重工,自选股
SH603002,宏昌电子,自选股
SH603004,鼎龙科技,自选股
SH603005,晶方科技,自选股
SH603006,联明股份,自选股
SH603015,弘讯科技,自选股
SH603026,石大胜华,自选股
SH603041,美思德,自选股
SH603043,广州酒家,自选股
SH603045,福达合金,自选股
SH603052,可川科技,自选股
SH603058,永吉股份,自选股
SH603066,音飞储存,自选股
SH603069,海汽集团,自选股
SH603073,彩蝶实业,自选股
SH603078,江化微,自选股
SH603086,先达股份,自选股
SH603088,宁波精达,自选股
SH603093,南华期货,自选股
SH603123,翠微股份,自选股
SH603125,常青科技,自选股
SH603156,养元饮品,自选股
SH603175,超颖电子,自选股
SH603188,亚邦股份,自选股
SH603198,迎驾贡酒,自选股
SH603217,元利科技,自选股
SH603220,中贝通信,自选股
SH603232,格尔软件,自选股
SH603260,合盛硅业,自选股
SH603283,赛腾股份,自选股
SH603288,海天味业,自选股
SH603297,永新光学,自选股
SH603315,福鞍股份,自选股
SH603322,超讯通信,自选股
SH603325,博隆技术,自选股
SH603345,安井食品,自选股
SH603393,新天然气,自选股
SH603408,建霖家居,自选股
SH603421,鼎信通讯,自选股
SH603456,九洲药业,自选股
SH603477,巨星农牧,自选股
SH603519,立霸股份,自选股
SH603533,掌阅科技,自选股
SH603587,地素时尚,自选股
SH603588,高能环境,自选股
SH603590,康辰药业,自选股
SH603600,永艺股份,自选股
SH603601,再升科技,自选股
SH603606,东方电缆,自选股
SH603611,诺力股份,自选股
SH603629,利通电子,自选股
SH603650,彤程新材,自选股
SH603657,春光科技,自选股
SH603658,安图生物,自选股
SH603659,璞泰来,自选股
SH603667,五洲新春,自选股
SH603678,火炬电子,自选股
SH603690,至纯科技,自选股
SH603693,江苏新能,自选股
SH603698,航天工程,自选股
SH603725,天安新材,自选股
SH603728,鸣志电器,自选股
SH603733,仙鹤股份,自选股
SH603738,泰晶科技,自选股
SH603757,大元泵业,自选股
SH603787,新日股份,自选股
SH603799,华友钴业,自选股
SH603836,海程邦达,自选股
SH603871,嘉友国际,自选股
SH603876,鼎胜新材,自选股
SH603881,数据港,自选股
SH603882,金域医学,自选股
SH603888,新华网,自选股
SH603890,春秋电子,自选股
SH603897,长城科技,自选股
SH603903,中持股份,自选股
SH603920,世运电路,自选股
SH603929,亚翔集成,自选股
SH603938,三孚股份,自选股
SH603982,泉峰汽车,自选股
SH603991,至正股份,自选股
SH605005,合兴股份,自选股
SH605006,山东玻纤,自选股
SH605007,五洲特纸,自选股
SH605009,豪悦护理,自选股
SH605136,丽人丽妆,自选股
SH605177,东亚药业,自选股
SH605208,永茂泰,自选股
SH605388,均瑶健康,自选股
SH605398,新炬网络,自选股
SH605598,上海港湾,自选股
SH688006,杭可科技,自选股
SH688019,安集科技,自选股
SH688031,星环科技-U,自选股
SH688037,芯源微,自选股
SH688058,宝兰德,自选股
SH688069,德林海,自选股
SH688076,ST诺泰,自选股
SH688095,福昕软件,自选股
SH688099,晶晨股份,自选股
SH688110,东芯股份,自选股
SH688126,沪硅产业,自选股
SH688135,利扬芯片,自选股
SH688137,近岸蛋白,自选股
SH688152,麒麟信安,自选股
SH688158,优刻得-W,自选股
SH688160,步科股份,自选股
SH688180,君实生物-U,自选股
SH688208,道通科技,自选股
SH688223,晶科能源,自选股
SH688231,隆达股份,自选股
SH688248,南网科技,自选股
SH688280,精进电动-UW,自选股
SH688303,大全能源,自选股
SH688305,科德数控,自选股
SH688306,均普智能,自选股
SH688320,禾川科技,自选股
SH688327,云从科技-UW,自选股
SH688356,键凯科技,自选股
SH688365,光云科技,自选股
SH688484,南芯科技,自选股
SH688486,龙迅股份,自选股
SH688499,利元亨,自选股
SH688507,索辰科技,自选股
SH688513,苑东生物,自选股
SH688523,航天环宇,自选股
SH688525,佰维存储,自选股
SH688533,上声电子,自选股
SH688561,奇安信-U,自选股
SH688599,天合光能,自选股
SH688619,罗普特,自选股
SH688630,芯碁微装,自选股
SH688662,富信科技,自选股
SH688667,菱电电控,自选股
SH688670,金迪克,自选股
SH688676,金盘科技,自选股
SH688679,通源环境,自选股
SH688696,极米科技,自选股
SH688709,成都华微,自选股
SH688727,恒坤新材,自选股
SH688733,壹石通,自选股
SH688757,胜科纳米,自选股
SH688768,容知日新,自选股
SH688789,宏华数科,自选股
SH689009,九号公司-WD,自选股
SQQQ,纳斯达克100三倍做空,自选股
SZ000006,深振业Ａ,自选股
SZ000021,深科技,自选股
SZ000025,特  力Ａ,自选股
SZ000027,深圳能源,自选股
SZ000039,中集集团,自选股
SZ000048,京基智农,自选股
SZ000049,德赛电池,自选股
SZ000060,中金岭南,自选股
SZ000065,北方国际,自选股
SZ000066,中国长城,自选股
SZ000090,天健集团,自选股
SZ000099,中信海直,自选股
SZ000333,美的集团,自选股
SZ000400,许继电气,自选股
SZ000409,云鼎科技,自选股
SZ000420,吉林化纤,自选股
SZ000514,渝 开 发,自选股
SZ000519,中兵红箭,自选股
SZ000523,红棉股份,自选股
SZ000539,粤电力Ａ,自选股
SZ000545,金浦钛业,自选股
SZ000547,航天发展,自选股
SZ000560,我爱我家,自选股
SZ000566,海南海药,自选股
SZ000581,威孚高科,自选股
SZ000591,太阳能,自选股
SZ000601,韶能股份,自选股
SZ000610,西安旅游,自选股
SZ000617,中油资本,自选股
SZ000633,合金投资,自选股
SZ000636,风华高科,自选股
SZ000661,长春高新,自选股
SZ000676,智度股份,自选股
SZ000695,滨海能源,自选股
SZ000712,锦龙股份,自选股
SZ000713,国投丰乐,自选股
SZ000722,湖南发展,自选股
SZ000725,京东方Ａ,自选股
SZ000733,振华科技,自选股
SZ000737,北方铜业,自选股
SZ000738,航发控制,自选股
SZ000750,国海证券,自选股
SZ000756,新华制药,自选股
SZ000792,盐湖股份,自选股
SZ000797,中国武夷,自选股
SZ000801,四川九洲,自选股
SZ000807,云铝股份,自选股
SZ000811,冰轮环境,自选股
SZ000825,太钢不锈,自选股
SZ000826,启迪环境,自选股
SZ000859,国风新材,自选股
SZ000862,银星能源,自选股
SZ000886,海南高速,自选股
SZ000901,航天科技,自选股
SZ000905,厦门港务,自选股
SZ000912,泸天化,自选股
SZ000922,佳电股份,自选股
SZ000928,中钢国际,自选股
SZ000949,新乡化纤,自选股
SZ000958,电投产融,自选股
SZ000960,锡业股份,自选股
SZ000969,安泰科技,自选股
SZ000970,中科三环,自选股
SZ000977,浪潮信息,自选股
SZ000981,山子高科,自选股
SZ000988,华工科技,自选股
SZ000993,闽东电力,自选股
SZ001206,依依股份,自选股
SZ001212,中旗新材,自选股
SZ001217,华尔泰,自选股
SZ001283,豪鹏科技,自选股
SZ001299,美能能源,自选股
