代码,    名称,现价,涨幅,涨跌,4分钟涨速,主力净量,总手,换手,量比,自选时间,自选价格,自选收益,现手,开盘,昨收,最高,最低,市盈(动),市净率,委比%,振幅,总市值,实体涨幅
SZ002136,安 纳 达,14.38,4.89%,0.67,-0.28%,0.28,21278201,9.92%,0.82,20250519,12.17,18.16%,425000--,13.73,13.71,14.54,13.57,,2.74,-43.77,7.08%,3091987600,4.73%
SH603069,海汽集团,20.18,0.85%,0.17,0.00%,-0.02,2987500,0.95%,0.59,20250723,23.68,-14.78%,37500--,19.95,20.01,20.19,19.85,,7.88,-7.99,1.70%,6376880000,1.15%
SH688158,优刻得-W,37.82,4.50%,1.63,0.08%,1.05,41564221,10.25%,0.84,20250731,27.22,38.94%,200--,35.75,36.19,37.98,35.62,,7.15,18.71,6.52%,17257458000,5.79%
SZ300291,百纳千成,7.63,0.66%,0.05,-0.13%,-0.12,11684100,1.26%,0.55,20250818,7.01,8.84%,600--,7.5,7.58,7.68,7.42,,2.35,10.72,3.43%,7186618000,1.73%
920077,吉林碳谷,17.31,1.05%,0.18,0.00%,-0.04,4210583,1.33%,0.52,--,--,--,55574--,17.15,17.13,17.5,17.06,58.7,3.85,71.71,2.57%,10172772300,0.93%
SH601698,中国卫通,37.3,0.13%,0.05,0.00%,0.02,59989015,1.42%,0.63,20251226,26.55,40.49%,675100--,37.06,37.25,37.99,36.73,413.6,9.93,12.4,3.38%,157569580000,0.65%
SH600793,宜宾纸业,19.79,0.97%,0.19,0.00%,-0.08,2381100,1.35%,0.61,--,--,--,32600--,19.5,19.6,19.84,19.39,174,14.71,-31.87,2.30%,3500930200,1.49%
SZ002466,天齐锂业,51.99,-0.69%,-0.36,0.00%,-0.04,25490905,1.73%,0.62,20251225,55.53,-6.37%,207905--,52.34,52.35,53,51.92,369.8,1.97,74.73,2.06%,88707677000,-0.67%
SZ002031,巨轮智能,7.29,0.69%,0.05,0.00%,0.22,32795929,1.69%,0.57,20251225,7.91,-7.84%,600900--,7.19,7.24,7.32,7.15,,7.55,-27.69,2.35%,16033594000,1.39%
SZ300607,拓斯达,28.12,0.82%,0.23,0.00%,-0.05,6161626,1.86%,0.61,20251208,29.93,-6.05%,700--,27.75,27.89,28.25,27.67,203.9,4.71,-80.46,2.08%,13412464200,1.33%
SH603678,火炬电子,38.61,0.49%,0.19,0.03%,0.19,9672272,2.03%,0.51,20251225,36.14,6.83%,188000--,38.12,38.42,39.11,37.61,42.99,2.99,31.65,3.90%,18361628000,1.29%
SZ300887,谱尼测试,11.72,6.74%,0.74,0.00%,1.11,43168536,11.92%,2.63,20251224,9.32,25.75%,1300--,10.85,10.98,12.16,10.83,,2.23,29.12,12.11%,6396040100,8.02%
SH600262,北方股份,29.1,-0.31%,-0.09,0.07%,0.03,3271290,1.92%,0.68,20251224,25.68,13.32%,37600--,29.09,29.19,29.43,28.76,20.47,2.81,0.85,2.30%,4947000000,0.03%
SH688662,富信科技,65.75,4.83%,3.03,0.00%,0.79,9495784,10.76%,1.38,20251224,54.84,19.89%,97054--,64.15,62.72,69.59,64.09,145.5,7.94,-69.59,8.77%,5801780000,2.49%
SZ002201,九鼎新材,12.37,0.32%,0.04,0.00%,-0.04,18964474,3.15%,0.56,20251224,10.29,20.21%,312500--,12.33,12.33,12.58,12.13,80.04,6.93,19.5,3.65%,8060740300,0.32%
SH603657,春光科技,28.43,2.75%,0.76,0.04%,0.04,1767700,1.31%,0.89,20251224,32.96,-13.74%,34000--,27.66,27.67,28.51,27.58,596.4,4.08,-0.91,3.36%,3843453100,2.78%
SH605007,五洲特纸,16.79,-0.83%,-0.14,0.30%,-0.34,17930600,4.47%,0.75,20251224,12.9,30.16%,415600--,16.46,16.93,16.98,16.41,33.11,2.33,60.87,3.37%,7987506800,2.00%
SZ002251,步步高,4.66,0.65%,0.03,0.22%,-0.09,51458992,2.39%,0.72,20251224,5.55,-16.04%,1202100--,4.56,4.63,4.67,4.54,41.67,1.53,-45.41,2.81%,12529340600,2.19%
SZ300726,宏达电子,50.16,-1.42%,-0.72,-0.02%,-0.01,6378235,2.97%,0.52,20251223,52.85,-5.09%,89910--,50.71,50.88,51.36,49.82,47.35,4.11,58.05,3.03%,20657887000,-1.08%
SH603322,超讯通信,35.46,0.57%,0.2,0.20%,-0.05,3209687,2.04%,0.64,20251113,44.24,-19.85%,51700--,34.96,35.26,35.47,34.88,70,19.4,-44.44,1.67%,5588027800,1.43%
SZ000633,合金投资,7.7,1.58%,0.12,0.13%,0.03,7888700,2.05%,0.51,20251020,6.82,12.90%,89300--,7.55,7.58,7.72,7.48,306.4,15.09,-38.39,3.17%,2965319100,1.99%
SH600827,百联股份,8.65,0.93%,0.08,-0.12%,-0.03,6285380,0.39%,0.65,20251222,9.58,-9.71%,136000--,8.6,8.57,8.67,8.55,39.23,0.778,-42.32,1.40%,15433054000,0.58%
SH688679,通源环境,43.61,0.97%,0.42,-0.34%,-0.14,2495105,1.89%,0.78,20250922,19.95,118.60%,20104--,43,43.19,44.2,42.57,,5.22,-51.22,3.77%,5742986700,1.42%
SZ002338,奥普光电,53.47,0.98%,0.52,0.02%,-0.01,2781630,1.16%,0.61,20251222,57.36,-6.78%,31500--,53.9,52.95,54.2,53.06,252.9,9.43,-2.21,2.15%,12832800000,-0.80%
SH603123,翠微股份,14,0.29%,0.04,0.00%,-0.39,52742984,8.09%,0.77,--,--,--,617458--,13.6,13.96,14.2,13.58,,6.12,39.06,4.44%,11182313300,2.94%
SZ000988,华工科技,114.78,7.66%,8.17,-0.01%,0.32,129693070,12.91%,1.1,20251219,75,53.04%,1711900--,106.75,106.61,116.09,106,65.51,10.58,-70.8,9.46%,115411601000,7.52%
SZ002813,路畅科技,27.04,1.35%,0.36,0.04%,-0.06,1298900,1.08%,0.61,20251219,30.71,-11.95%,35400--,26.53,26.68,27.12,26.3,,13,-7.24,3.07%,3244800000,1.92%
SZ002202,金风科技,28.47,1.68%,0.47,0.00%,0.13,246520320,7.33%,0.96,20251219,16.2,75.74%,2541620--,27.88,28,28.98,27.72,34.9,3.13,8.17,4.50%,120251263000,2.12%
SZ301321,翰博高新,23.46,1.87%,0.43,0.00%,0.22,8352690,5.66%,1.16,20251219,18.25,28.55%,103400--,22.5,23.03,23.58,22.28,,4.5,25.84,5.64%,4373765100,4.27%
SZ300947,德必集团,18.69,1.91%,0.35,-0.05%,-0.14,2597784,1.72%,0.72,20250710,27.51,-32.06%,35700--,18.3,18.34,18.7,18.2,210.9,2.26,15.66,2.73%,2824763500,2.13%
SH603408,建霖家居,12.43,1.06%,0.13,0.00%,0,2098500,0.47%,0.55,20251219,13.65,-8.94%,29400--,12.35,12.3,12.47,12.24,11.97,1.62,22.82,1.87%,5563332400,0.65%
SH600824,益民集团,4.33,1.17%,0.05,0.00%,-0.15,13947577,1.32%,1.06,20251218,4.9,-11.63%,141100--,4.27,4.28,4.34,4.25,178.1,1.89,-30.95,2.10%,4563937200,1.41%
SH601366,利群股份,4.58,1.78%,0.08,0.00%,0.12,12043225,1.29%,0.74,20251218,6.04,-24.17%,269900--,4.48,4.5,4.6,4.46,233.3,1.06,-13.34,3.11%,4273418300,2.23%
SZ300731,科创新源,71.6,-3.41%,-2.53,0.04%,-0.55,12173523,10.13%,0.73,20250822,49.91,43.46%,118300--,72.95,74.13,76.35,71.3,251.1,14.62,87.26,6.81%,9052517200,-1.85%
SZ000797,中国武夷,3.09,1.64%,0.05,0.00%,0.24,22423703,1.43%,0.7,20251218,3.94,-21.57%,422500--,3.02,3.04,3.09,3,,0.961,-31.57,2.96%,4853630500,2.32%
01519,极兔速递-W,9.85,1.97%,0.19,0.41%,0.01,17034373,0.19%,0.57,20251218,10.43,-5.56%,1400400--,9.58,9.66,9.91,9.58,64.63,3.77,33.03,3.42%,87644564000,2.82%
SZ002157,正邦科技,3.32,5.06%,0.16,0.30%,0.49,310808660,4.30%,2.32,20251218,3.49,-4.87%,6165200--,3.15,3.16,3.35,3.14,2787,2.62,-50.85,6.65%,30710540000,5.40%
SH600862,中航高科,26.58,1.88%,0.49,0.00%,0.02,35121070,2.52%,0.99,20251218,22.08,20.38%,276500--,25.95,26.09,27.3,25.75,34.44,4.97,-3.18,5.94%,37027245000,2.43%
920834,三维装备,14.53,-1.09%,-0.16,0.00%,0.07,973285,1.55%,0.74,--,--,--,19190--,14.56,14.69,14.68,14.4,34.62,5.65,-18.43,1.91%,1743600100,-0.21%
SZ002522,浙江众成,6,0.84%,0.05,0.00%,-0.06,24540954,2.71%,0.65,20250220,4.98,20.48%,239500--,5.91,5.95,6.02,5.86,85.47,2.35,-44.42,2.69%,5434676300,1.52%
SZ301018,申菱环境,106.66,3.83%,3.93,-0.04%,0.24,12350306,6.21%,0.91,20251218,59.31,79.83%,135800--,103.09,102.73,109.77,102.62,141.8,10.7,21.65,6.96%,28377166000,3.46%
SZ002759,天际股份,33.87,-2.59%,-0.9,0.00%,-0.74,29257281,5.84%,0.87,20250625,10.4,225.67%,409300--,34.53,34.77,34.98,33.75,,5.47,8.63,3.54%,16981829000,-1.91%
SZ000733,振华科技,53.49,1.06%,0.56,0.00%,0.02,15439051,2.79%,0.74,20251217,48.07,11.28%,107400--,52.69,52.93,54.55,52.33,35.68,1.94,3.64,4.19%,29642523000,1.52%
SH600498,烽火通信,52.76,-7.06%,-4.01,0.10%,-1.56,137240800,10.79%,0.93,20251217,26.06,102.46%,2355060--,55.5,56.77,56.13,52.4,104.8,4.5,43.18,6.57%,71656916000,-4.94%
SZ300782,卓胜微,82.22,-0.66%,-0.55,0.00%,-0.26,9506487,2.12%,0.62,20251217,78.69,4.49%,100--,82.96,82.77,83.33,81.31,,4.44,-58.96,2.44%,43983030000,-0.89%
920371,欧福蛋业,10.82,-0.09%,-0.01,0.00%,-0.23,2180910,1.12%,0.62,20251027,10.68,1.31%,28586--,10.8,10.83,10.93,10.77,25.21,3.61,48.86,1.48%,2222920700,0.19%
SZ300552,万集科技,30.79,-2.07%,-0.65,0.00%,-0.21,5061598,3.67%,0.66,20251216,28.06,9.73%,90500--,31.11,31.44,31.35,30.76,,3.65,-8.87,1.88%,6562368500,-1.03%
SZ002607,中公教育,2.87,0.35%,0.01,0.00%,-0.17,176750820,3.22%,0.53,20251216,2.77,3.61%,2599800--,2.87,2.86,2.88,2.82,144.3,21.68,9.4,2.10%,17700436000,0.00%
SZ001317,三羊马,50.51,0.24%,0.12,0.00%,-0.02,1474326,1.72%,0.57,20251216,52,-2.87%,11300--,50.3,50.39,51.18,50.16,,4.82,-64.1,2.02%,4321928500,0.42%
SZ001318,阳光乳业,14.7,2.44%,0.35,0.14%,-0.07,3266756,1.16%,0.96,20251215,16.21,-9.32%,28100--,14.33,14.35,14.74,14.27,35.66,2.88,-55.4,3.28%,4155102000,2.58%
SZ002697,红旗连锁,5.71,0.88%,0.05,0.00%,-0.08,22865396,2.00%,0.71,20251215,6.23,-8.35%,236800--,5.62,5.66,5.72,5.6,15.22,1.66,-31.11,2.12%,7765600000,1.60%
SZ000825,太钢不锈,5.13,-0.39%,-0.02,-0.20%,-0.12,55694703,0.98%,0.54,20251215,4.86,5.56%,756600--,5.12,5.15,5.19,5.05,38.58,0.882,-15.85,2.72%,29221751000,0.20%
SZ000738,航发控制,26.27,3.51%,0.89,-0.08%,0.06,60436931,4.60%,1.14,20251215,19.52,34.58%,312200--,25.13,25.38,27.39,25.07,64.63,2.76,-44.24,9.14%,34549884000,4.54%
00981,中芯国际,61.8,0.49%,0.3,4.13%,0.04,70796224,1.18%,1.09,20251215,64.7,-4.48%,28264500--,61.65,61.5,63.6,61.1,93.03,2.96,81.58,4.07%,494485200000,0.24%
SZ002430,杭氧股份,31.7,0.44%,0.14,0.00%,-0.01,11446185,1.17%,0.71,20251215,30.6,3.59%,118700--,31.31,31.56,32.29,31.26,30.72,3.21,61.29,3.26%,31013835000,1.25%
SZ300724,捷佳伟创,113.92,-0.26%,-0.3,0.01%,-0.04,11258095,3.91%,0.65,20251212,91.1,25.05%,200--,113.37,114.22,116.16,112.28,11.07,2.96,79.37,3.40%,39677425000,0.49%
SH600678,四川金顶,11.46,1.33%,0.15,0.00%,-0.14,10204100,2.92%,0.6,20251212,14.14,-18.95%,191000--,11.26,11.31,11.47,11.2,93.57,14.18,-32.67,2.39%,3999425400,1.78%
SZ002498,汉缆股份,9.83,9.96%,0.89,0.00%,-0.01,331781360,9.97%,1.39,20251212,4.04,143.32%,248300--,9.54,8.94,9.83,9.39,55.21,3.67,100,4.92%,32702405000,3.04%
SZ301439,泓淋电力,17.47,0.69%,0.12,0.12%,0.06,10756332,5.87%,1.2,--,--,--,1000--,17.39,17.35,17.61,17.24,35.71,2.3,19.61,2.13%,6797608600,0.46%
920639,晨光电缆,9.03,0.11%,0.01,0.00%,-0.7,13591999,11.45%,2.06,--,--,--,70777--,8.9,9.02,9.42,8.9,41.25,2.13,18.65,5.76%,1820448000,1.46%
SH688110,东芯股份,144.33,6.45%,8.74,0.01%,0.05,29100287,6.58%,1.45,20251212,117.6,22.73%,3345--,136.88,135.59,146.88,136.88,,18.67,26.38,7.38%,63829908000,5.44%
SZ002438,江苏神通,18.14,0.17%,0.03,0.06%,-0.07,11245695,2.40%,0.68,20251212,16.12,12.53%,98700--,18.11,18.11,18.48,17.81,29.47,2.51,30.12,3.70%,9206729500,0.17%
SH601611,中国核建,16.56,-1.37%,-0.23,0.00%,-0.52,125079172,4.15%,1.15,20251212,13.01,27.29%,1409700--,16.71,16.79,16.97,16.42,33.83,2.29,-17.98,3.28%,49909095000,-0.90%
SH601619,嘉泽新能,6.77,-3.56%,-0.25,0.00%,-0.39,136782020,5.62%,0.83,20251212,4.63,46.22%,838800--,6.99,7.02,7.15,6.75,24.87,2.45,62.12,5.70%,19719426000,-3.15%
SH600192,长城电工,9.99,1.52%,0.15,0.10%,0.06,19847077,4.49%,1.31,20251212,9.78,2.15%,240500--,9.75,9.84,10.08,9.71,,4.35,-18.16,3.76%,4413062500,2.46%
SH600865,百大集团,12.49,1.63%,0.2,0.00%,-0.1,7721989,2.05%,0.86,20251212,11.88,5.13%,51300--,12.23,12.29,12.51,12.2,147,2.05,-54.08,2.52%,4699241500,2.13%
SZ003009,中天火箭,71.89,-2.77%,-2.05,0.00%,-0.13,7928859,5.10%,0.6,20251212,62.5,15.02%,140500--,72.61,73.94,73.5,71.01,,7.25,41.87,3.37%,11174097600,-0.99%
SH511880,银华日利ETF,100.243,-0.01%,-0.008,0.00%,0,212428240,26.45%,1.19,20251211,101.15,-0.89%,156900--,100.25,100.251,100.255,100.237,0,0,-41.09,0.02%,80493645000,-0.01%
SZ300433,蓝思科技,32.41,0.06%,0.02,0.06%,-0.01,40932710,0.82%,0.61,20250717,24.12,34.37%,200--,32.22,32.39,32.58,31.95,45.13,3.18,24.23,1.95%,171083990000,0.59%
01359,中国信达,1.18,2.61%,0.03,0.86%,0.09,60096853,0.44%,0.56,20251210,1.37,-13.87%,1744000--,1.14,1.15,1.19,1.14,11.66,0.22,-17.72,4.35%,45034151000,3.51%
SZ001335,信凯科技,43.81,1.18%,0.51,-0.09%,-0.34,1190634,5.08%,0.63,20251209,46.56,-5.91%,8500--,42.92,43.3,43.92,42.8,48.05,4.27,71.66,2.59%,4106730100,2.07%
SZ300065,海兰信,27.76,2.78%,0.75,0.04%,1.09,111697586,17.00%,0.72,20251208,17.88,55.26%,700--,26.6,27.01,28.61,26.12,377.4,11.4,24.73,9.22%,20029927000,4.36%
SH605136,丽人丽妆,10.56,2.42%,0.25,0.10%,0.01,7845600,1.96%,0.8,20251208,11.54,-8.49%,101500--,10.2,10.31,10.56,10.2,,1.73,-28.11,3.49%,4228841800,3.53%
SZ300965,恒宇信通,58.71,1.02%,0.59,-0.19%,-0.09,727781,1.31%,0.42,20250813,81.3,-27.79%,6700--,57.63,58.12,59.22,57.3,102.7,2.86,16.67,3.30%,3522600000,1.87%
SH688499,利元亨,53.77,1.72%,0.91,0.06%,0.08,3306928,1.96%,0.69,20250718,48.64,10.55%,46593--,52.82,52.86,54.13,52.14,178,3.92,52.03,3.76%,9072532000,1.80%
SH600497,驰宏锌锗,9.83,-1.90%,-0.19,0.00%,-0.1,106073809,2.10%,0.41,20251208,6.74,45.85%,911700--,9.86,10.02,9.98,9.66,28.07,2.96,62.66,3.19%,49546940000,-0.30%
SZ000547,航天发展,32.66,3.32%,1.05,-0.03%,0.66,413923340,26.05%,1.58,20251205,20.57,58.77%,5889700--,31.2,31.61,33.99,31.2,,11.11,-88.33,8.83%,52205974000,4.68%
SZ300666,江丰电子,148.37,-2.07%,-3.13,0.09%,-0.48,10132097,4.58%,0.65,20251205,87.32,69.92%,500--,150.48,151.5,151.93,146.78,81.79,7.96,36.75,3.40%,39365630000,-1.40%
SZ300346,南大光电,51.56,-1.34%,-0.7,-0.02%,-0.29,24322524,3.70%,0.64,20251205,41,25.76%,100--,52.17,52.26,52.66,51.5,88.86,10.36,20.22,2.22%,35636050000,-1.17%
SH688126,沪硅产业,19.57,0.36%,0.07,-0.05%,-0.01,18535377,0.68%,0.49,20251205,21.68,-9.73%,216486--,19.38,19.5,19.72,19.36,,3.23,30.04,1.85%,64679308000,0.98%
SZ300699,光威复材,38.68,2.57%,0.97,0.05%,-0.01,22620270,2.75%,0.77,20251205,30.01,28.89%,158100--,37.47,37.71,39.44,37.37,53.47,5.66,45.4,5.49%,32156695000,3.23%
SZ002149,西部材料,49.49,0.94%,0.46,0.02%,0.5,57537713,11.79%,0.71,20251205,20.52,141.18%,738700--,48.53,49.03,51,47.74,261.7,8.29,15.07,6.65%,24161724000,1.98%
SZ300174,元力股份,16.94,2.73%,0.45,0.00%,0.06,9470122,2.61%,0.99,20251205,15.47,9.50%,75100--,16.41,16.49,17.26,16.34,26.82,1.78,-68.58,5.58%,6169723500,3.23%
SH688320,禾川科技,33.54,1.73%,0.57,0.00%,-0.07,1909468,1.26%,0.64,20251205,35.69,-6.02%,32905--,32.84,32.97,33.59,32.62,,4.14,50.85,2.94%,5064998400,2.13%
SH688160,步科股份,115.87,0.58%,0.67,0.49%,0,925025,1.02%,0.58,20251205,107.88,7.41%,23635--,115.2,115.2,116.88,113.8,144.4,8.12,6.32,2.67%,10524727700,0.58%
SZ000811,冰轮环境,21.14,2.22%,0.46,0.00%,0.19,35265495,3.60%,0.9,20251205,14.73,43.52%,408700--,20.66,20.68,21.45,20.29,36.76,3.41,12.01,5.61%,20980985000,2.32%
SZ300377,赢时胜,20.6,3.15%,0.63,-0.05%,0.16,38003619,5.50%,0.87,20251117,18.19,13.25%,100--,19.8,19.97,20.97,19.73,,6.14,-29.84,6.21%,15470663000,4.04%
SH600619,海立股份,18.32,0.94%,0.17,0.00%,-0.04,12960660,1.64%,0.58,20251205,20.62,-11.15%,226100--,18.06,18.15,18.38,17.98,266.5,3.21,-48.78,2.20%,19663670000,1.44%
SH600730,中国高科,9.88,1.96%,0.19,0.10%,0.02,6619100,1.13%,0.51,20250318,7.01,40.94%,272100--,9.69,9.69,9.94,9.61,,3.24,23.96,3.41%,5796161300,1.96%
SZ000901,航天科技,25.49,-0.86%,-0.22,0.00%,-0.08,23716966,2.97%,0.57,20250826,18.78,35.73%,330200--,25.48,25.71,25.93,25.22,160.8,4.71,26.13,2.76%,20346154000,0.04%
SH603728,鸣志电器,62.74,0.43%,0.27,0.00%,-0.01,2866330,0.68%,0.5,20251204,67.35,-6.84%,38500--,62.37,62.47,63.09,62.01,395.5,8.87,22.27,1.73%,26280688000,0.59%
SZ301517,陕西华达,60.81,-0.18%,-0.11,-0.07%,-0.18,3291869,3.35%,0.53,20251204,50.03,21.55%,200--,60.7,60.92,61.95,60.28,,6.86,70.59,2.74%,9196745100,0.18%
SZ000960,锡业股份,40.3,-1.80%,-0.74,-0.05%,-0.01,51209062,3.11%,0.51,20251204,27.3,47.62%,349000--,41.43,41.04,41.6,39.68,28.5,3.33,-0.69,4.68%,66310908000,-2.73%
SZ300455,航天智装,25.66,-0.62%,-0.16,0.00%,-0.09,11740924,1.66%,0.52,20251203,28.34,-9.46%,300--,25.6,25.82,26.28,25.3,,10.92,25.32,3.80%,18417925000,0.23%
SH605598,上海港湾,50.89,-0.57%,-0.29,0.04%,-0.04,2569637,1.06%,0.64,20251203,45.59,11.63%,16900--,50.95,51.18,51.87,50.7,117.9,6.85,37.63,2.29%,12446920900,-0.12%
SZ000333,美的集团,76.52,0.33%,0.25,-0.05%,0.04,20662879,0.30%,0.83,20251203,82.41,-7.15%,278160--,76.22,76.27,76.72,75.76,11.52,2.67,79.21,1.26%,581761640000,0.39%
SZ000049,德赛电池,25.4,0.47%,0.12,-0.04%,-0.02,3185445,0.83%,0.58,20251202,29.22,-13.07%,39400--,25.32,25.28,25.56,25.2,32.48,1.47,11.77,1.42%,9769818800,0.32%
920876,慧为智能,27.23,-4.59%,-1.31,0.00%,-1.51,4653354,12.07%,1.18,20251201,27.23,0.00%,89713--,27.5,28.54,28.27,26.8,576.6,6.81,56.22,5.15%,1747639300,-0.98%
SZ002862,实丰文化,16.77,-4.34%,-0.76,0.00%,-1.1,11214985,8.88%,1.89,20251128,22.82,-26.51%,205300--,17.01,17.53,17.03,16.54,,7.04,10.94,2.80%,2817360000,-1.41%
SH600977,中国电影,13.92,0.65%,0.09,0.07%,-0.01,23734768,1.27%,0.52,20251128,17.29,-19.49%,482700--,13.8,13.83,13.96,13.71,293.7,2.35,10.86,1.81%,25988640000,0.87%
SZ002145,钛能化学,5.53,2.22%,0.12,-0.18%,-0.02,104087463,2.79%,0.84,20251128,5.1,8.43%,957665--,5.38,5.41,5.6,5.35,49.95,1.74,25.22,4.62%,21050897000,2.79%
SZ300342,天银机电,42.62,0.14%,0.06,-0.05%,0.04,23114424,5.52%,0.53,20251128,19.68,116.57%,600--,42.11,42.56,43.46,41.81,559.8,11.55,24.68,3.88%,18114997000,1.21%
SH600597,光明乳业,7.88,1.16%,0.09,0.00%,0.04,8250072,0.60%,0.85,20251128,8.23,-4.25%,159662--,7.77,7.79,7.89,7.76,93.41,1.15,-47.06,1.67%,10862373300,1.42%
SZ002601,龙佰集团,21.46,-0.37%,-0.08,0.00%,0.09,39136013,1.97%,0.96,20251128,18.36,16.88%,221400--,21.31,21.54,21.72,20.84,22.92,2.18,9.35,4.09%,51165963000,0.70%
SZ000545,金浦钛业,3.75,9.97%,0.34,0.00%,6.71,210568760,21.37%,1.23,20251128,3.17,18.30%,148600--,3.41,3.41,3.75,3.4,,4.06,100,10.26%,3700624100,9.97%
SH600756,浪潮软件,16.09,0.88%,0.14,0.00%,-0.09,5384502,1.66%,0.47,20251128,23.4,-31.24%,78000--,15.86,15.95,16.16,15.78,,2.37,-19.31,2.38%,5625526600,1.45%
SZ301159,三维天地,46.15,4.11%,1.82,0.07%,0.05,2715700,5.12%,0.96,20251127,44.5,3.71%,17000--,44.29,44.33,46.33,44.04,,6.12,84.19,5.17%,3569702500,4.20%
SH600246,万通发展,10.88,0.37%,0.04,0.00%,-0.01,44172133,2.34%,0.67,20251126,12.68,-14.20%,528100--,10.79,10.84,10.99,10.73,,3.92,50.39,2.40%,21139704000,0.83%
SZ000039,中集集团,13.4,-0.45%,-0.06,0.38%,-0.48,78975880,3.43%,0.82,20251126,9.35,43.32%,860450--,13.38,13.46,13.7,13.17,34.62,1.49,76.27,3.94%,72259773000,0.15%
SH600868,梅雁吉祥,3.87,0.26%,0.01,0.00%,-0.12,71280500,3.76%,0.49,20251126,3.16,22.47%,859900--,3.83,3.86,3.9,3.78,,3.79,-16.2,3.11%,7345835400,1.04%
SH688099,晶晨股份,91.02,3.82%,3.35,-0.04%,0.22,11388578,2.70%,1.1,20251126,95,-4.19%,60796--,86.5,87.67,92.11,86.5,44,5.22,-60.37,6.40%,38334494000,5.23%
SZ002512,ST达华,4.91,-5.03%,-0.26,0.00%,-0.01,476000,0.04%,0.03,20251126,6.04,-18.71%,21800--,4.91,5.17,4.91,4.91,,14.06,-100,0.00%,5462358500,0.00%
SZ301668,昊创瑞通,57.26,2.84%,1.58,-0.11%,0.68,4811485,20.88%,1.94,20251126,52.33,9.42%,200--,55.98,55.68,58.3,55.39,51.18,6.02,-3.94,5.23%,6298600000,2.29%
SZ001299,美能能源,13.74,-2.14%,-0.3,-0.29%,0.05,9693948,4.44%,0.72,20250606,11.03,24.57%,264700--,14,14.04,14.05,13.5,32.89,2.7,-38,3.92%,3333854400,-1.86%
SZ000756,新华制药,15.38,1.52%,0.23,0.00%,-0.02,5768397,1.16%,0.77,20250516,15.65,-1.73%,83300--,15.11,15.15,15.39,15.07,31.36,2.06,-26.46,2.11%,10714991200,1.79%
SZ002927,泰永长征,22.06,5.10%,1.07,0.00%,1.42,28649757,12.98%,2.28,20250318,17.42,26.64%,307200--,21,20.99,23,20.88,111,4.76,-33.38,10.10%,4923619500,5.05%
SZ002752,昇兴股份,6.39,1.75%,0.11,-0.16%,0.08,8697855,0.89%,0.65,20250314,6.03,5.97%,128300--,6.24,6.28,6.4,6.23,21.62,1.81,-15.67,2.71%,6242509000,2.40%
SH688523,航天环宇,71.94,1.07%,0.76,0.00%,0.26,16070647,16.65%,1.25,20251125,34.48,108.64%,333815--,70,71.18,76.88,67.81,681.9,17.46,64.27,12.74%,29270947000,2.77%
SH688670,金迪克,19.15,4.08%,0.75,0.42%,-0.05,1610837,1.31%,0.95,20251125,25.75,-25.63%,43963--,18.32,18.4,19.15,18.32,,2.14,68.58,4.51%,2359280000,4.53%
SH600592,龙溪股份,22.54,0.85%,0.19,0.00%,0.01,5221573,1.31%,0.58,20251125,26.61,-15.30%,45800--,22.23,22.35,22.9,22.1,57.75,3.54,0.93,3.58%,9005937500,1.39%
SZ300418,昆仑万维,53.21,1.01%,0.53,-0.04%,-0.04,42009525,3.35%,0.47,20251125,45.69,16.46%,500--,52.01,52.68,53.25,51.97,,4.76,37.22,2.43%,66797543000,2.31%
SH600661,昂立教育,10.33,1.87%,0.19,0.00%,-0.02,4642400,1.62%,0.61,20251125,10.79,-4.26%,70800--,10.09,10.14,10.35,10.09,48.33,22,-70.59,2.56%,2960049400,2.38%
SZ300031,宝通科技,21.22,0.43%,0.09,0.00%,0.04,5499750,1.56%,0.5,20251125,22.6,-6.11%,77100--,21,21.13,21.23,20.93,31.92,2.19,13.83,1.42%,8885804900,1.05%
SZ002659,凯文教育,5.85,2.27%,0.13,0.17%,0.01,13553300,2.27%,0.61,20251125,6.25,-6.40%,140200--,5.68,5.72,5.85,5.67,2744,1.62,-9.13,3.15%,3499940200,2.99%
SH600764,中国海防,28.57,1.10%,0.31,-0.04%,-0.03,9206111,1.30%,0.71,20251125,32.95,-13.29%,100300--,28.07,28.26,28.94,27.98,98.76,2.46,47.49,3.40%,20302682000,1.78%
SZ301315,威士顿,54.45,2.41%,1.28,0.06%,-0.16,1451575,3.92%,0.67,20251027,55.19,-1.34%,32600--,52.6,53.17,54.47,52.55,167.3,4.71,-3.64,3.61%,4791600000,3.52%
SZ003018,金富科技,27.1,-3.01%,-0.84,0.04%,0.18,15566626,15.89%,0.77,20250708,11.91,127.54%,325400--,27.51,27.94,27.52,25.95,56.56,4.42,75.07,5.62%,7046000000,-1.49%
SZ002389,航天彩虹,27.61,-5.77%,-1.69,-0.04%,-1.58,138686310,14.08%,1.07,20251124,22.9,20.57%,1835000--,28.7,29.3,28.8,26.96,3364,3.4,-31.28,6.28%,27193531000,-3.80%
SH603888,新华网,21.39,0.00%,0,0.00%,0,9108620,1.35%,0.53,20251124,20.33,5.21%,136300--,21.2,21.39,21.58,21.2,53.21,3.92,36.88,1.78%,14432649000,0.90%
