代码,    名称,现价,涨幅,涨跌,4分钟涨速,主力净量,总手,换手,量比,自选时间,自选价格,自选收益,现手,开盘,昨收,最高,最低,市盈(动),市净率,委比%,振幅,总市值,实体涨幅
SH601615,明阳智能,20.23,0.65%,0.13,-0.05%,0.14,43267307,1.91%,0.5,20260203,25.58,-20.91%,389012--,20.03,20.1,20.63,19.88,44.81,1.74,17.89,3.73%,45750078000,1.00%
SH600053,九鼎投资,17.61,0.92%,0.16,0.11%,-0.01,3410200,0.79%,0.58,20260119,23.3,-24.42%,89500--,17.32,17.45,17.64,17.22,,2.97,12.56,2.41%,7634653500,1.67%
SH601918,新集能源,7.99,-0.75%,-0.06,0.13%,-0.26,54911353,2.12%,0.51,20260130,7.32,9.15%,641900--,7.96,8.05,8.04,7.83,10.03,1.23,-38.56,2.61%,20698429000,0.38%
SZ002455,百川股份,12.96,4.94%,0.61,-0.08%,1.31,102136306,19.67%,0.84,20260129,8.72,48.62%,1148700--,12.2,12.35,13.3,12.17,1202,4.42,-16.59,9.15%,7701589100,6.23%
SH600172,黄河旋风,9.56,-3.43%,-0.34,0.00%,-1.6,215446310,16.88%,0.88,20260129,7.28,31.32%,2932100--,9.75,9.9,10.11,9.48,,13.96,43.45,6.36%,13787284000,-1.95%
SZ300016,北陆药业,10.85,7.32%,0.74,-0.18%,-0.41,86259576,15.35%,2.97,20260129,9.07,19.63%,2100--,10.03,10.11,11.36,10,103.7,2.76,-51.48,13.45%,6107173800,8.18%
SH600600,青岛啤酒,62.46,1.73%,1.06,0.00%,0.06,5047764,0.71%,0.96,20260129,63.57,-1.75%,84100--,61.2,61.4,62.48,61.1,12.12,2.72,-69.23,2.25%,85207627000,2.06%
SZ300067,安诺其,5.05,2.43%,0.12,0.00%,-0.04,46776069,4.99%,0.62,20260129,5.49,-8.01%,3000--,4.88,4.93,5.05,4.87,,2.34,-1.3,3.65%,5829591600,3.48%
SH603188,亚邦股份,5.51,2.42%,0.13,-0.36%,-0.23,19932100,3.50%,0.69,20260129,5.31,3.77%,365200--,5.36,5.38,5.6,5.35,114.2,4.09,-25.67,4.65%,3141636700,2.80%
SZ300758,七彩化学,15.74,2.34%,0.36,0.26%,-0.04,14675949,4.01%,0.76,20260128,20.12,-21.77%,200--,15.32,15.38,15.88,15.24,65.31,3.57,35.98,4.16%,6391047500,2.74%
SH600352,浙江龙盛,15.84,0.19%,0.03,-0.06%,0.05,64928555,2.00%,0.61,20260128,14.75,7.39%,435200--,15.71,15.81,16.1,15.53,27.66,1.51,11.79,3.61%,51532777000,0.83%
SZ301177,迪阿股份,31.12,1.43%,0.44,-0.16%,0,1976547,0.49%,0.38,20260128,38.76,-19.71%,14200--,30.57,30.68,31.31,30.42,91.11,2,-6.87,2.90%,12456544000,1.80%
SH600522,中天科技,27.38,-5.00%,-1.44,0.22%,-0.78,163425190,4.79%,0.8,20260128,21.85,25.31%,2087200--,28.45,28.82,28.88,27.22,29.97,2.55,63.91,5.76%,93446561000,-3.76%
SH605006,山东玻纤,9.33,-1.69%,-0.16,0.00%,-0.22,21298840,3.55%,0.48,20260128,7.96,17.21%,459900--,9.44,9.49,9.54,9.21,,2.27,-27.44,3.48%,5598166800,-1.17%
SH601015,陕西黑猫,4.88,-3.94%,-0.2,-0.20%,-0.44,143106720,7.01%,0.74,20250724,4.01,21.70%,2402500--,4.9,5.08,4.93,4.63,,1.77,-24.59,5.91%,9967388500,-0.41%
SZ300967,晓鸣股份,21.5,4.93%,1.01,0.00%,-0.08,19348132,15.51%,1.36,20260128,21.52,-0.09%,100--,20.48,20.49,21.58,19.58,16.52,4.92,-1.98,9.76%,4032781200,4.98%
SZ002166,莱茵生物,8.96,1.36%,0.12,-0.11%,-0.07,6959269,0.94%,0.58,20260128,9.72,-7.82%,67000--,8.8,8.84,8.97,8.79,70.79,2.16,-55.1,2.04%,6644820400,1.82%
920402,硅烷科技,10.28,-1.06%,-0.11,0.00%,-0.28,5842591,2.14%,0.72,--,--,--,56364--,10.2,10.39,10.34,10.12,,2.81,61.67,2.12%,4338777500,0.78%
SH600345,长江通信,40.74,-7.03%,-3.08,0.03%,-0.75,20251026,9.57%,0.93,20260109,38.3,6.37%,174300--,43.95,43.82,43.95,40.48,605.4,3.81,76.38,7.92%,13428398000,-7.30%
SZ301207,华兰疫苗,19.42,1.89%,0.36,0.00%,-0.02,6569826,1.09%,0.95,20260128,23,-15.57%,900--,18.97,19.06,19.52,18.95,66.16,2.06,19.82,2.99%,11671954100,2.37%
SH600732,爱旭股份,15.1,-0.98%,-0.15,0.00%,0.02,50506057,2.79%,0.75,20260127,14.45,4.50%,437200--,15.14,15.25,15.14,14.74,,4.94,-15.7,2.62%,31970474000,-0.26%
SH600602,云赛智联,20.24,2.22%,0.44,0.05%,0.15,73188721,6.81%,1.04,20260127,22.17,-8.71%,708600--,20.15,19.8,21.1,19.95,143,5.74,-14.23,5.81%,27681711000,0.45%
SZ300639,凯普生物,6.59,2.81%,0.18,-0.15%,-0.15,19242675,3.03%,0.95,20260127,8.7,-24.25%,1600--,6.43,6.41,6.6,6.33,,1.11,-44.33,4.21%,4260439400,2.49%
SZ002362,汉王科技,20.64,0.19%,0.04,0.00%,-0.06,3099300,1.49%,0.52,20260127,23.08,-10.57%,43000--,20.48,20.6,20.73,20.43,,4.8,6.28,1.46%,5045543900,0.78%
00941,中国移动,78.95,0.83%,0.65,0.70%,0.01,21789340,0.11%,1.12,20260127,78.9,0.06%,3253500--,78.45,78.3,79.15,78.35,10.18,1.12,63.06,1.02%,1709577500000,0.64%
SZ300871,回盛生物,26.06,2.20%,0.56,0.04%,-0.12,6367427,3.15%,0.69,20251027,21.69,20.15%,84800--,25.25,25.5,26.18,25.21,21.05,2.5,69.6,3.80%,5272786400,3.21%
SH600062,华润双鹤,18.2,1.45%,0.26,-0.06%,0.03,6324427,0.61%,0.8,20260126,19.02,-4.31%,46100--,17.94,17.94,18.26,17.86,10.51,1.67,6.2,2.23%,18905387000,1.45%
SH600470,六国化工,8.37,9.99%,0.76,0.00%,7.79,102524984,19.66%,0.96,20260126,6.79,23.27%,227200--,7.45,7.61,8.37,7.36,,2.68,100,13.27%,4365792000,12.35%
SH601108,财通证券,8.38,1.45%,0.12,-0.24%,0.05,33432622,0.72%,0.77,20260126,9.5,-11.79%,468825--,8.25,8.26,8.42,8.23,14.32,1.05,-17.36,2.30%,38914738000,1.58%
SZ002446,盛路通信,10.66,-1.20%,-0.13,0.00%,-0.34,32233718,3.80%,0.53,20260126,11.56,-7.79%,421300--,10.7,10.79,10.87,10.56,87.05,3.84,52.06,2.87%,9758331600,-0.37%
SZ300696,爱乐达,30.58,0.82%,0.25,-0.10%,-0.02,5946594,2.24%,0.69,20260126,32.96,-7.22%,35800--,30.49,30.33,31.58,30,143.8,4.74,-16.72,5.21%,8964618200,0.30%
SH600399,抚顺特钢,7.4,2.07%,0.15,0.00%,0.47,122257029,6.20%,0.69,20260126,7.07,4.67%,636000--,7.2,7.25,7.67,7.16,,2.53,63.76,7.03%,14593540000,2.78%
SZ002340,格林美,9.06,-0.98%,-0.09,-0.11%,-0.17,175590030,3.46%,0.57,20260123,9.66,-6.21%,1508290--,9.08,9.15,9.23,8.96,31.28,2.25,51.43,2.95%,46236202000,-0.22%
SZ000591,太阳能,6.25,2.97%,0.18,0.00%,0.04,280638770,7.15%,1.44,20250903,4.98,25.50%,2561700--,6.15,6.07,6.39,6.07,16.35,1.01,15.5,5.27%,24527766000,1.63%
SZ002815,崇达技术,15.1,1.75%,0.26,0.00%,0.21,32317043,4.16%,0.79,20260123,16.38,-7.81%,346600--,14.71,14.84,15.34,14.55,44.57,2.08,27.34,5.32%,18635685000,2.65%
SZ300494,盛天网络,12.31,1.32%,0.16,0.16%,-0.2,9462720,2.38%,0.51,20260122,13.35,-7.79%,160700--,12.01,12.15,12.31,12,147.5,4.19,19.28,2.55%,6038179000,2.50%
SZ300657,弘信电子,31.77,1.24%,0.39,0.00%,0.19,29594712,6.28%,0.89,20260122,30.25,5.02%,206200--,31,31.38,32.63,30.81,127,12.19,8.39,5.80%,15330796000,2.48%
